MEMBER_NO,FFP_DATE,FIRST_FLIGHT_DATE,GENDER,WORK_CITY,WORK_PROVINCE,WORK_COUNTRY,AGE,LAST_FLIGHT_DATE,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,EXCHANGE_COUNT,Points_Sum,Point_NotFlight
54993,########,12/24/2008,Male,.,beijing,CN,31,3/31/2014,1,3.483254,18,34,619760,50
28065,2/19/2007,########,Male,,beijing,CN,42,3/25/2014,7,5.194245,17,29,415768,33
55106,########,8/30/2007,Male,.,beijing,CN,40,3/21/2014,11,5.298507,18,20,406361,26
21189,8/22/2008,8/23/2008,Male,Los Angeles,CA,US,64,12/26/2013,97,27.86364,73,11,372204,12
39546,########,4/15/2009,Male,guiyang,guizhou,CN,48,3/27/2014,5,4.788079,47,27,338813,39
56972,########,9/29/2009,Male,guangzhou,guangdong,CN,64,1/13/2014,79,7.043956,52,10,343121,15
44924,3/22/2006,3/29/2006,Male,wulumuqishi,xinjiang,CN,46,3/31/2014,1,7.19,28,20,298873,29
22631,########,########,Female,wenzhoushi,zhejiang,CN,50,3/29/2014,3,10.11111,45,7,351198,14
32197,########,########,Male,DRANCY,,FR,50,3/26/2014,6,13.05455,94,5,295158,7
31645,########,########,Female,wenzhou,zhejiang,CN,43,3/17/2014,15,11.33333,73,13,251907,16
58877,11/18/2010,11/20/2010,Female,PARIS,PARIS,FR,34,########,22,16.83333,95,1,337839,3
37994,11/13/2004,########,Male,beijing,.,CN,47,3/26/2014,6,5.027778,42,15,353101,66
28012,11/23/2006,11/18/2007,Male,SAN MARINO,CA,US,58,1/25/2014,67,23,112,3,245808,4
54943,10/25/2006,10/27/2007,Male,shenzhen,guangdong,CN,47,3/29/2014,3,6.196581,38,14,270704,20
57881,########,########,Female,guangzhou,guangdong,CN,45,3/30/2014,2,14.87755,100,9,328345,12
1254,3/28/2008,########,Male,BOWLAND HEIGHTS,CALIFORNIA,US,63,1/27/2014,65,31.19048,102,6,310002,8
8253,7/15/2010,8/20/2010,Male,wulumuqi,xinjiang,CN,48,3/25/2014,7,6.84,41,15,257193,22
58899,########,2/23/2011,Female,PARIS,,FR,50,2/16/2014,45,17.58974,77,12,281705,13
26955,########,2/22/2007,Male,wulumuqishi,xinjiang,CN,54,3/30/2014,2,11.20635,48,16,249914,23
41616,8/29/2011,10/22/2011,Male,dongguan,guangdong,CN,41,########,24,18.67568,74,0,215694,3
21501,7/30/2008,11/21/2008,Male,.,beijing,CN,49,3/28/2014,4,6.438095,31,4,251134,9
41281,########,########,Male,VECHEL,NORD BRABANT,AN,,3/26/2014,6,32.90909,135,7,286520,9
47229,########,########,Male,guangzhou,guangdong,CN,69,########,23,7.473118,42,5,277394,46
28474,4/13/2010,4/13/2010,Male,,CA,US,41,1/18/2014,74,32.78947,110,8,280760,9
58472,2/14/2010,########,Female,,,FR,48,3/15/2014,17,15.88372,66,10,235939,12
13942,10/14/2010,########,Male,PARIS,FRANCE,FR,39,3/15/2014,17,11.2459,121,7,274882,10
45075,########,3/23/2007,Male,zhanjiang,guangdong,CN,46,3/29/2014,3,3.433962,37,0,795398,49
47114,1/15/2005,3/17/2005,Male,.,beijing,CN,47,3/21/2014,11,9.493151,51,8,235176,14
54619,########,########,Male,guangzhou,guangdong,CN,62,3/14/2014,18,7.08,29,3,237787,11
12349,6/16/2008,6/27/2008,Male,shenzhen,guangdong,CN,46,3/21/2014,11,8.267442,36,9,224081,15
35883,########,4/18/2007,Male,wulumuqishi,xinjiang,CN,55,3/30/2014,2,13.46154,61,3,211879,7
56091,11/25/2004,########,Female,guangzhoushi,guangdongsheng,CN,46,3/24/2014,8,7.574468,80,8,212131,14
2137,########,########,Male,guangzhou,guangdong,CN,69,3/16/2014,16,5.492308,50,14,234826,20
27708,3/20/2006,3/25/2006,Male,shenzhen,guangdong,CN,45,3/29/2014,3,7.712766,37,8,220012,19
28014,########,########,Female,Paris,,FR,48,3/29/2014,3,15.80435,105,5,251712,7
3539,10/13/2009,10/13/2009,Male,UPLAND,CALIFORNIA,US,53,12/15/2013,108,23.41667,72,9,258717,10
56149,2/13/2005,########,Male,fanyu,guangdong,CN,39,2/27/2014,34,27.82609,192,6,239108,10
44936,3/30/2006,########,Male,wulumuqishi,xinjiang,CN,37,11/28/2013,125,11.37736,54,5,206363,11
62751,########,########,Male,beijing,beijing,CN,45,3/31/2014,1,4.381818,31,10,260880,25
40066,2/27/2009,########,Male,guangzhou,guangdong,CN,63,2/27/2014,34,8.5625,46,1,213436,5
18793,4/25/2006,########,Male,.,beijing,CN,48,3/30/2014,2,7.505155,46,11,210435,17
13963,1/18/2011,########,Male,guangzhou,guangdong,CN,63,3/29/2014,3,21.38235,84,13,254051,16
46084,########,3/31/2007,Male,guangzhou,guangdong,CN,54,3/29/2014,3,7.712766,47,1,220352,21
58798,########,5/14/2010,Male,guangzhou,guangdong,CN,51,3/19/2014,13,15.88889,54,0,191878,2
56089,########,2/27/2005,Male,guangzhoushi,guangdongsheng,CN,49,2/23/2014,38,13.0566,52,0,230772,4
58693,########,########,Male,PARIS,,FR,39,########,22,34.9,154,4,237893,5
28780,7/13/2012,7/13/2012,Male,guangzhou,guangdong,CN,47,3/31/2014,1,5.752294,39,5,227957,11
27836,7/16/2006,8/18/2006,Male,.,beijing,CN,59,3/25/2014,7,5.428571,37,9,200953,15
38073,1/26/2005,########,Male,changsha,hunan,CN,76,3/30/2014,2,6.839623,30,2,205938,9
22629,7/15/2010,7/15/2010,Male,SUMIDA-KU,TOKYO-TO,JP,49,########,304,6.028986,32,8,199386,9
12326,5/21/2008,########,Male,.,beijing,CN,40,3/31/2014,1,3.87234,20,5,262134,56
24222,########,2/23/2012,Male,guangzhou,guangdong,CN,51,3/28/2014,4,8.418605,44,3,206809,7
916,11/18/2006,########,Male,fanyu,guangdong,CN,46,3/21/2014,11,25.67857,131,7,226692,10
45008,########,########,Male,wulumuqi,xinjiang,CN,54,3/31/2014,1,15.14894,61,3,195368,10
11523,########,7/17/2007,Male,shenzhen,guangdong,CN,49,3/31/2014,1,10.46269,39,2,201197,11
56088,########,1/13/2005,Male,guangzhou,guangdong,CN,41,3/28/2014,4,6.590909,39,19,272042,100
56573,11/26/2007,12/14/2007,Female,guangzhou,guangdong,CN,38,########,22,9.676471,77,6,199477,39
38883,########,########,Male,guangzhou,guangdong,CN,48,3/28/2014,4,5.704,33,2,234654,13
38035,12/28/2004,########,Male,shenzhen,guangdongsheng,CN,42,3/17/2014,15,13.16667,59,0,177562,5
11034,1/26/2005,########,Male,beijing,.,CN,59,########,21,9.133333,34,5,190530,13
47143,2/17/2005,2/17/2005,Male,.,beijing,CN,48,3/17/2014,15,10.52239,60,3,186501,9
29033,11/19/2004,11/19/2004,Male,HK,HK,HK,60,3/31/2014,1,9.552632,55,4,195217,7
16812,########,6/27/2010,Male,PUCHONG,Selangor Darul Ehsan,MY,52,3/26/2014,6,8.73494,69,1,204668,2
5241,5/14/2011,5/14/2011,Male,hangzhoushi,zhejiang,CN,31,3/18/2014,14,7.294737,55,12,259585,81
49208,5/28/2010,10/16/2010,Male,beijing,beijing,CN,44,3/24/2014,8,23.34483,128,2,219035,16
38241,8/13/2005,8/14/2005,Male,guangzhou,guangdong,CN,53,3/13/2014,19,8.333333,34,8,195796,15
38456,11/15/2007,11/16/2007,Male,TORRANCE,CALIFORNIA,US,39,########,88,18.58065,127,8,206462,11
44377,########,7/13/2010,Male,chengdu,sichuan,CN,53,3/13/2014,19,21.57576,90,10,201302,13
49737,10/30/2010,10/31/2010,Male,shishi,fujian,CN,30,3/31/2014,1,3.714286,28,0,134178,3
47919,12/14/2008,5/20/2010,Female,,VIC,AU,43,3/25/2014,7,24.44828,92,3,212047,3
23528,8/15/2012,8/15/2012,Male,LOS ANGELES,CA,US,33,1/30/2014,62,31.35294,141,2,182497,2
